Genes	S:\Proteomics\CMB\CMB-1515\T063417_AurEl7_PM7_CMB-1515_9_GD6_1_10072.d	S:\Proteomics\CMB\CMB-1515\T063423_AurEl7_PM7_CMB-1515_6_GD3_1_10078.d	S:\Proteomics\CMB\CMB-1515\T063425_AurEl7_PM7_CMB-1515_5_GD2_1_10080.d	S:\Proteomics\CMB\CMB-1515\T063427_AurEl7_PM7_CMB-1515_4_GD1_1_10082.d	S:\Proteomics\CMB\CMB-1515\T063429_AurEl7_PM7_CMB-1515_3_GC8_1_10084.d	S:\Proteomics\CMB\CMB-1515\T063431_AurEl7_PM7_CMB-1515_2_GC7_1_10086.d
COL6A2	379864	57299.6	128024	159190	327590	24978.1
COL6A3	415668	70559.7	153583	194033	407450	33149.6
COL8A1	43406.7	13399.9	32769.1	17598.9	37628.6	10046.7
COL8A2	21779.4		6920.2	10747.7	15614.2	2454.85
COPA	1220.52		1170.54			
COPB2		7682.45	10023		7848.09	13244.9
CORO1B		2118.1	1302.98	1080.71	989.936	
COX5A	2479.43	4227.83	3849.34	10191.2	6479.4	3808.42
CP		2732.04	5271.1	5583.43	7295.18	
CPA4	3987.92	25985.4	31810.7	17971.9	17465.7	21818.9
CPB2	6962.89		6515.24		8027.35	
CPNE3	10554.2	16697.2	14475.9	11675.4	9285.56	15035
CRIP1	14387.4	10554.1	20999.9		42716.6	1301.88
CRIP2	11129.5	10235	25387.7	5370.63	23986.5	2853.23
CRNN		4324.1				
CRYAB	18583.3	9987.12	19188.2	23795.3	20352.8	14595.5
CS	1109.1	5868.44	4995.67	6904.73	5545.65	8686.94
CSN1S1				15853.7		
CSN2		3266.82	30719	920196		
CSN3			5647.15	545795		
CSRP1	39989.1	26261.4	40178.8	44910.1	46845.9	25507.9
CSRP2	8352.7	10213.5	48814.4	5027.24	58759.2	
CST4	2720.11	27354.5	13919.7			
CST6	9107.87	15726.5	33638.8	12304	9375.93	30319.4
CSTA	46574.2	167636	230734	134403	147501	177119
CSTB	7437.9	58919.1	19524.3	20489.4	10809.3	8854.85
CTPS2					1154.55	
CTSA	3704.14	8200.42	4051.49	4447.19	5731.34	14321.8
CTSB	5033.32	22518.4	10041	7021.97	9227.66	59596.9
CTSD	21480.8	103203	78391.7	59252.9	47105.3	125580
CTSH			5317.95	5594.2	1230.23	7199.43
CYB5B	2299.8					
CYB5R1	2311.64				3147.34	
CYB5R3	20628.5	11509	22758.9	20527.9	25801.1	8248.18
CYBRD1	15910.4		4506.39	15913.6	7814.42	3217.17
DAG1	1813.41		1069.59			
DCD	120673	596681	948830	620981	391881	2.8204e+06
DCN	37689.7	14827	2209.55	62467	3331.07	
DCXR	4365.72	5401.75	9116.17	5708.1	4890.67	10570.3
DDAH2			10759.1	4451.13		1464.59
DDX39B	1747.23	970.548	1422.07	2538.5	1293.37	
DDX3X	1679.51	2030.9	2023.43	2817.89	2014.23	1959.65
DES	209943	6292.38	14872.4	193368	12307.6	102562
DHH	4016.55					
DKK2	26018		1346.28		3491.14	
DMBT1			3111.54		6677.8	
DMKN		6677.87	8961.83		24359.7	
DPT	8655.58	13098.8	29554.9	5490.35	54620.2	
DPYSL2	10928.6	2411.92	12490.2	10348.7	10721.8	3557.1
DPYSL3	8132.74	3537.78	4160.53	6770.27	6044.04	5367.69
DSC1	15321.5	91322.5	146654	63732.8	56810.2	115837
DSC3	4866.52	29343.2	48205.7	26429	40740	51034.6
DSG1	35244.7	155261	193098	112338	99961.9	160642
DSP	64859	297268	362394	242388	213177	340126
DSTN	17312.5	19510.5	31471.7	18214.9	38639.5	14547.5
DTD1	3542.71		9533.81	9851.92	3945.91	9596.77
DYNC1H1	3048.16		3460.57	3062.1	1967.05	1790.65
ECH1	1334.59					1331.8
ECM1	6558.58	25352	33302	14082.6	10661.3	26374.3
EEF1A2		1636.1				
EEF1D	5949.48	3779.15	4004.98	6275.15	7359.45	
EEF2	11939.2	22873.7	24752.9	22284.6	17152.2	11762.9
EFEMP1	17864.5	59228.4	63454.4		53047.4	
EGFL7	3125.18				400.237	
EGFL8	4904.03					
EHD2	32615.8	3769.38	31053.8	42133	25150.9	25183.1
EHD4	1882.05					
EIF2S1	1596.55					2276.75
EIF4A1			5472.07	7823.15	2372.73	2173.08
EIF6	6198.44	23847.3	29965.8	14109.4	23164	26055.9
ELANE		11306.5	5040.97		1783.13	9157.39
ELN	26142.3		2008.76	4327.72	1879.87	
EMD	8548.6		3901.69	6520.34	6386.26	
EMILIN1	36511.6	11427.6	41891.5	30954.8	45439.6	7888.53
ENO1	21612.7	29156.1	36935.2	36959.5	29398.3	18193.1
ENO3	609.367	6730.3	12003.9	8687.36	4968.96	9662.67
ENTPD1	3645.9				3355.19	2837.63
EPRS1			3709.89		1858.74	
ESD	7280.24	2541.51	4315.92	6658.85	3990.35	
ESYT1	1108.53	591.317	828.078	1200.59	811.297	926.764
ESYT2	440.896					
F9	4504.23		14355.4	2983.16	21396.5	1213.88
FABP3	6500.63		8197.51	37618.4	8764.56	6776.44
FABP5	17410.8	55404.1	88856.1	56663.8	51430.2	38239.3
FAH			4794.36	4722.27		2048
FASN	1426.49			10531.8		
FBLIM1	7400.55		13019.7		19663.1	
FBLN1	15228.1	9194.26	11304.4	3191.62	13390.4	
FBLN2	36582.2	13736.3	6205.76	4605.88	7234.31	
FBLN5	95255.8	27584.6	43150.6	2223.19	42635.2	686.407
FBN1	136004	121861	466432	96215.2	690735	5870.57
FERMT2	10573.7				8455.03	
FGA	44510.5	8583.69	34237.8	12148.8	43459	18113.3
FGB	38539.9	8718.77	23742.9	5922.79	36285.8	36628.6
FGG	57086.3	10354.6	37133.3	10897.2	35411.7	17365.2
FHL1	46195.2	30105.9	19896.7	43188.8	46297.6	17245.5
FHL2			2916.06		8474.42	
FHL3			2911.32		10327	
FLG	21307.9	100687	146757	89079	59965.7	103798
FLG2	62273.5	206988	149945	152293	98456.6	294438
FLNA	202971	60299.4	156820	180744	214628	84917.8
FLNC	7515.91	3434.57	3017.76	15525.2		11237.1
FLOT2	1595.21					
FMOD	14953.5	10888.4	4145.23	8377.44	5249.06	3264.15
FN1	311783	292770	276689	41582.6	331323	20976.5
FTL	5302.56		2498.05			
G6PD	4723.66					
GAA	999.176	3859.26			2303.24	5743.56
GAPDH	30000	132021	118308	93322.6	77345.1	152929
GBE1	3005.46		1065.65		1570.48	
GC	2627.62		8146.77			
GDI2	4889.32	6786.82	9507.24	6094.01	5001.38	5191.11
GGCT	10505.3	49391	39803.1	36045	31106.8	66014.2
GGH	5639.78	33294.5	29702.7	18639.5	15143.4	46327
GGT5	8706.3	1403.55	4382.94	7658.29	5641.26	
GLIPR2	8211.61			4716.86	4697.1	2243.66
GLRX		2784.58	306.946	1936.55	1425	1889.85
GLUL			7700.61	8392.15	5768.07	6606.57
GM2A	3375.9	27927.9	27322.7	19901.2	6379.4	21099
GNA11	5072.76			4524.71	2863.34	2711.38
GNAI2	19068.2	5835.34	7970.77	10583.9	12893.5	4983.67
GNB1	4371.03		6577.35		7876.12	
GNB2	4371.63		3403.75		4013.74	
GOLGA3	158182	428488	224370	565948	406333	329791
GOT1	3391.42	9289.33	7091.83			8313.89
GPI	9242.04	6812.76	6336.15	9775.57	13578.8	6052.59
GPX3			10238.4		10965.9	
GSDMA	11636.9	49544.5	39318.8	54250.4	36183.7	65147.2
GSN	48726.5	25154.4	47522.9	45961.5	53179.6	19535.3
GSS		3422.96	3665.62	4660.76	4691.64	12133.5
GSTM2	2880.62		3475.97	4474.85	5786.52	2675.95
GSTO1	2130.5	5094.58	3842.92	6021.26	2554.31	1474.4
GSTP1	8156.98	3751.97	6674.78	7549.76	8252.33	6518.23
H1-0	40139.1	7150.03	30483.1	45013.7	37684.7	8111.32
H1-10	6975.81		1095.31	4716.82	3749.22	1425.39
H1-2	16812.8	1509.75	4273.08	12406.3	7735.08	3483.32
H1-4	2402.24					
H1-5			20127.7		35539	
H2AC21	55776.6	4286.36	30796.8	36535.7	39676.1	5731.16
H2BC12L	55109.9	19491	45903.2	80462.8	52287.1	12017.7
H3-7	5538.47		11481.3	26762.3	26362.4	
H4C16	988736	171643	755624	1.4852e+06	846551	291355
HADH			9466.78			
HADHB	14934.2	3479.05	10007.7	15219.4	9936.76	6834.11
HAL	3790.16	59618.1	60614.8	31414.7	25370.7	98167.3
HARS1	1997.17	6473.28	9756	4357.46	3198.51	5089.42
HBA2	68333.6	50086.1	60453	498012	97351.1	77819.1
HBB	328106	190368	223890	1.91392e+06	523648	245255
HBD	16424.6	4867.12	12901.7	87925.6	16732.1	9138.72
HBG2	1871.77	4458.99		14645.9	5051.81	3229.53
HLA-A	8107.61	6739.52	6250.33		10450.1	
HLA-C	1457.89		3382.31		5197.77	
HMGB2	3845.14		1113.23	4366.57	1306.44	618.519
HNRNPA2B1	15226.2	6211.39	8839.51	13921.3	9955.49	6605.96
HNRNPD	4025.16	3082.88	2875.86	3935.99	1531.73	
HNRNPH3	8338.53		4585.1	7123.87	3960.33	1730.7
HNRNPK	9737.09	3628.79	7095.03	10526.6	4471.82	775.197
HNRNPL	1860.12		1654.94	3550.04		
HP	8689.26	6967.57	23330.9	10567.5	37934	3205.85
HPSE2	986.758					
HPX			9618.59		8986.55	
HRNR	185777	852615	1.09633e+06	494537	719256	672103
HSP90AA1	12776.9	14215.6	11231.9	11972.4	12504.4	8690.91
HSP90AB1	13055	24191.1	12917.5	15276.8	15903.4	6028.73
HSP90B1	13158.3	15273	13051	13910.4	14893.1	8325.82
HSPA2	6376.45		6239.09	7790.59	6006.8	10420
HSPA5	7807.17	22371.7	19203.9	26454.2	22569.7	28282.2
HSPA8	14720.3	19808.4	25277.4	39299.6	26144.8	14977.4
HSPB1	70316.9	35901.6	68896.9	76863.9	78689.1	47933.7
HSPB6	27629.7	2308.44	4844.89	39469.4	5707.05	12736.1
HSPD1	10525.3	19137.4	18712.3	25730.2	20145.5	18432.8
HSPE1	2570.89	12180.3	12006.9	19151.8	22352.4	15744.5
HSPG2	123051	26395	77522.5	56660.6	106932	32815.1
HTRA1	224716	32496.4	6459.73	4898.85	10022.9	4569.17
IDE		9122.26	9721.79	12935.8	5109.6	
IDH1	4090.45	7736	10225.9	8581.53	5812.17	10625.5
IDH2	1883.33		2179.44	4301.36	2248.95	1454.37
IGHA1	12755.7	163878	91723.9	107375	47034.4	28962.4
IGHA2		23614.3	8426.73		8165.45	
IGHG1	11899	15050	24904.5	31129.8	31153.4	20222
IGHM	13998.4	6899.37	8845.48	4869.94	9897.36	3342.04
IGHV3OR16-9		8336.5	7450.79	7289.98	3303.67	4479.03
IGKC	10352.8	45519.3	22446.9	32449.7	31255.3	18926.5
IGKV3-20	15815.4	13590	28446	22513.8	39630.9	11047.4
IGKV3D-20	2231.59	5257.66	7664.74	8062.87	5915.84	
IGKV4-1	698.832	2144.29	3958.51	2996.86	2978.94	988.234
IGLV1-47	3093.56	10904.7	7919.23	8855.21	12873.3	4595.71
IL17B	9775.12					
IL1RN		5613.84	2002.35			
IL36G			12785.4	8208.91	6894.5	8974.75
IL37	1154.25	4249.15	2628.97	1520.09	753.752	6054.18
ILK	11233.9	1517.12	10135.5	12089	11217.1	6135.48
IQGAP1	13492	15825.9	7962.2	9476.34	12235.7	5428.7
ISYNA1	4313.9		9081.53	8394.04	11160.3	4370.52
ITGA1	5232.85	1336.1	14724.6	1578.52	26239.5	2458.48
ITGA5	22540.4			25180.3		6129.3
ITGA7	3426.72				2202.64	
ITGB1	6893.57	5127.01	9007.47	4120.75	9802.07	3208.7
ITGB6		5675.98	2137.22		11950.7	4776.65
ITIH1	5476.28	3630.81	18813.1	3720.1	24128.3	
ITIH2	3589.37	6806.21	7942.33	6542.63	10496.6	4374.25
ITIH3	2569.82		2758.94		1896.96	
ITIH4	3463.84		4203.23	5979.34	6195.98	1733.11
ITIH5	2189.24			2891.76		1684.13
JCHAIN		324576	60407.5			
JUP	24266.6	169382	244825	114404	118050	140223
KANK2	9282.36		3063.51	6002.06	4309.91	2509.79
KHSRP	2245.74					
KLK10		1769.83	2534.87	4224.07	1855.03	3958.7
KLK7	4164.9	13231.2	21774.4	15972.7	7839.04	20789.1
KPLCE	153266	373707	253938	259199	131694	293890
KPRP	65143.5	143326	142969	99241.7	87336	194701
KRT1	984642	5.66761e+06	4.61288e+06	3.76465e+06	4.17999e+06	5.18748e+06
KRT10	1.26405e+06	6.83171e+06	4.78131e+06	4.96197e+06	4.61062e+06	7.31472e+06
KRT13		546670				6635.57
KRT14	188672	1.09794e+06	1.29212e+06	692608	1.35201e+06	1.36059e+06
KRT16	56781.1	632716	1.61402e+06	254987	696574	1.53968e+06
KRT17	14884.7	168513	426127	122820	208195	576354
KRT19	2834.66	9018.39	50108.8	16612.9	21250	38956.7
KRT2	743963	5.07697e+06	4.34785e+06	3.62368e+06	2.77276e+06	5.55768e+06
KRT23	4105.11	18656.4	27357.9	17097.4	15215.2	28905.9
KRT25			27392.9	9570.71	4745.76	
KRT26					5237.79	
KRT27			165053	61547.5	90811.9	
KRT28			7583.52	3038.04	17471.3	
KRT3		2144.31	6187.93	2294.31	1507.68	4101.17
KRT31		6186.96	3123.48	6892.43	1710.87	8315.13
KRT4		307511	58633.9	28271.3	39458.1	254863
KRT5	410411	2.39572e+06	2.94979e+06	1.76302e+06	1.7273e+06	2.28065e+06
KRT6A	50506.7	1.1886e+06	1.38111e+06	378230	1.11938e+06	1.81448e+06
KRT6B	6017.75	195977	278913	68049.8	236497	501861
KRT71			83861.2	24542.4	48433.9	
KRT72			107676	32949.1	79495.6	
KRT77	90606.1	281632	141010	201790	102617	558343
KRT78	41547.8	148478	176292	109691	95859.9	224222
KRT79		8571.43			3914.83	9921.35
KRT80	17786.8	71859.7	81900.7	56156.3	47971.2	96140.1
KRT82		4923.34	10083.5			7703.16
KRT85		2000.53	6494.3	8661.42	12595.9	
KRT86	17131.4	26599.2	39241.7	139687		71778.7
KRT9	1.74872e+06	9.91415e+06	9.79522e+06	6.02993e+06	6.80891e+06	7.1194e+06
LACRT		10568.3	2022.14	3047.37		
LALBA			5040.87	73582.4		
LAMA4	8085.83		1708.37	3636.75	3072.81	
LAMA5	134354	7337.12	81188.7	60583.7	83579.1	39458
LAMB1	6471				5678.83	
LAMB2	121592		63698.4	67368.6	67895.5	29708.9
LAMC1	96627.2	8079.15	46419.5	42099.1	57574.1	28325.3
LAMP1	5919.88	13959.3	9229.08	11724.7	8487.72	13886.3
LAMP2	2642.88	9444.51	9711.04	10530.5	6283.72	11489.7
LANCL1	4727.37			2573.83	1918.6	
LASP1	11920	12829.5	24919.2	17331.5	32746.5	8294.22
LBP			718.55		929.385	
LCN2		1502.29				1404.1
LCP1		5607.71				
LCT		3294.73				
LDHA	44488.2	38644.6	44605.5	67623.9	51970.9	37489.2
LDHB	18543.8		6683.33	15996.2	7294.88	8325.19
LEMD2	3956.51					
LGALS1	63845.1	30942.4	56142.3	34469	88678.7	12103.5
LGALS3	22051.3	19831.4	26979.5	26156.8	19524.8	16696.2
LGALS3BP	14385.5	16049.5	1529.73	3300.53	2482.05	4187.61
LGALS7B	15154.3	95883.5	97157.6	76987.3	51811.9	72370.1
LGALSL		4623.57	9095.19		3289.28	5385.61
LGI4	12262.9		2399.73		3998.8	
LIMS1	9527.05				6322.29	
LMCD1	1062.89	2852.47	1416.09	4139.65	2724.21	1853.31
LMNA	109569	35590.4	91185.2	120678	124105	31648.1
LMNB2	13504.2		8703.84	19548.9	12080.7	4577.48
LMOD1	24044.6	3007.85	3149.03	13648.7	12709.7	8548.37
LNPEP	1577.32	1249.27	999.131	1262.5	1205.28	1776.79
LORICRIN		16941.1	11615.8	8135.19	12041.8	11625.8
LOX	63707.9					
LPP	29898.2	8470.42	24458.2	19533.9	26064.4	8476.05
LTBP1	12143.9	12769	72935.6	3845.28	74466.5	
LTBP2	14410.9	7418.35	22311.9	8471.06	30598	
LTBP4	2847.61	6175.15	17980.8		20643.9	
LTF	15501.3	199282	89558	855323	29322.5	50800.8
LUM	99172.7	82308	67300.5	37765.6	146582	6287.1
LY6D		7016.7	10683.6	11400.8	6249.43	12912.4
LYZ	5886.02	103275	31924.1	46656.6	11865.2	17422
MAL2		1670.6	874.823	1866.24	1512.32	3447.5
MAOA	16097.4			7686.43		5639.61
MAP4	5265.6					
MB	3095.68	9469.15	6503.28	10726.4	9917.21	5703.47
MCAM	18036.5	5929.53	18967	14421	27487.6	7868.02
MDH1	12117.5	5557.4	9935.73	16986.9	16166.8	9306.56
MDH2	4997.62	8279.92	13141.9	12501.7	4505.25	6119.96
ME1	2968.11		9688.54	4512.71	5544.23	8936.74
MFAP2	82739.5	42961	95066.8	28440	177547	
MFAP4	96382.2	74261.4	39611.7	2744.71	61117	
MFAP5	2045.93	2444.47	25807.8		47965	
MFGE8	19033.9	56272.5	54524.4	43666.7	137098	6713.56
MGP	5024.53		4937.91		8058.43	
MMP12	33791.3					
MMP28	26519.7					
MPZ	4635.06					
MSN	19956.2	12670.8	18192.6	24611.3	22169.3	9875.5
MT-CO2		2349.02	1731.14	2241.6	1371.36	
MUCL1		19446.6	16919.1	16188.1	11557.7	162552
MUSTN1	11858.5		3748.76	8926.63	4827.99	4554.99
MYADM	8055.77	2186.88		2097.31	3652.44	2164.55
MYH11	150355	43634.7	98657.8	110208	100893	71832.4
MYH7	3833.91	15708.2	8600.92	13565.8	10008.8	11072.8
MYH9	52053.7	40672.1	69110.7	49957	103531	24085.7
MYL1		5705.92	2541.87	6724.78	3723.86	4873.96
MYL4	8139.55		3610.4	6547.1	2753.79	
MYL6	44545.8	14455.1	29138.1	29609.7	26002.7	12927.4
MYL9	15260.7	14702	15364.1	36619.2	34330.6	23312.5
MYLK	13089.2	4657.29	10083.6	5168.75	19065.4	8598.31
MYO1C	24806.3	5487.62	12392	17005.1	10861.7	8986.52
MYO1D	1492.21	2874.82	4972.5		5925.83	
MYOF	5484.75	1653.77	5038.1		7057.77	
NAGA						5872.59
NCCRP1	10523.1	45143.9	55327.4	32859.2	36125.9	52915.7
NEFH	9028.97					
NEFL	8231.65					
NEFM	3542.86					
NEU2			12858.7		9061.73	32861.8
NIBAN1	3943.64				3033.58	2251.23
NID1	45039.9	4772.86	20907	25549.4	25333.1	15220.7
NID2	33001		10029.4	19560.9	13727.2	13064.4
NIPSNAP2	5300.71		7580.29			
NME1	2452.27		4728.89			
NME2	1805.77		1128.88	2412.3	1775.42	1690.06
NNT					2078.31	
NOTCH3	21809.3		12447.4		20223.6	
NPNT	5631.03		1893.54	1690.2		
NPTN	9184.7		4408.98	5530.96	4264.43	3666.5
NT5E	3628.35					
NTN4	3423.48					
NUDT5	2541.85	5095.06	6966.21	3719.47	2609.81	11001
NUTF2	3699.54	9480.63	12593.8		8728.32	25416.6
