Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	TU014944PAP_Slot1-12_1_3201.d	TU014945PAP_Slot1-11_1_3202.d	TU014946PAP_Slot1-10_1_3203.d	TU014947PAP_Slot1-09_1_3204.d	TU014948PAP_Slot1-08_1_3205.d	TU014949PAP_Slot1-07_1_3206.d	TU014950PAP_Slot1-06_1_3207.d	TU014951PAP_Slot1-05_1_3208.d	TU014952PAP_Slot1-04_1_3209.d	TU014953PAP_Slot1-03_1_3210.d	TU014954PAP_Slot1-02_1_3211.d	TU014956PAP_Slot1-24_1_3213.d	TU014957PAP_Slot1-23_1_3214.d	TU014958PAP_Slot1-22_1_3215.d	TU014959PAP_Slot1-21_1_3216.d	TU014960PAP_Slot1-20_1_3217.d	TU014961PAP_Slot1-19_1_3218.d	TU014962PAP_Slot1-18_1_3219.d	TU014963PAP_Slot1-17_1_3220.d	TU014964PAP_Slot1-16_1_3221.d	TU014965PAP_Slot1-15_1_3222.d	TU014966PAP_Slot1-14_1_3223.d	TU014967PAP_Slot1-13_1_3224.d	TU014968PAP_Slot1-36_1_3225.d	TU014969PAP_Slot1-35_1_3226.d	TU014973PAP_Slot1-31_1_3227.d	TU014974PAP_Slot1-30_1_3228.d	TU014975PAP_Slot1-29_1_3229.d	TU014976PAP_Slot1-28_1_3230.d	TU014977PAP_Slot1-27_1_3231.d	TU014978PAP_Slot1-26_1_3232.d	TU014979PAP_Slot1-25_1_3233.d	TU014980PAP_Slot1-34_1_3234.d	TU014981PAP_Slot1-33_1_3235.d	TU014982PAP_Slot1-32_1_3236.d
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	8681.42	12369	9621.93	5972.57							5987.74	7284.45	7279.65	7739.53	5713.18	10902.5	9754.91	10657.1	13070.9	12667.2	7449.85	10848.1	11059.4	6898.96	7735.44	7451.05	6496.22	7888.47	8262.46	7342.1	6284.76	8098.29	12720.7	7490.09	42230.5
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	21429.9	4755.13				6132.34			9191.94				20145.2	18730.3				10461.1				14694	12769.1			20702.8		19627.5	20317.6	22306.1	19447.8	19170.3	20287.8	22002.6	21374.3
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	2489.8		2055	1539.56		1173.92		1003.87	1134.93			2399.15	2276.83	2561.77	3556.3	2330.68	3019.34	1871.1	2277.11	1613.87	3781.24	2279.05	1400.12	2890.44	3043.04	2501.94	2578.7	2526.06	2388.91	3066.61	2331.39	2210.97	2447.94	2309.3	1751.82
A6NI56	A6NI56	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154	86823.5	7454.89	52359.7	50307.8	71883.9	14443	135759	12648.6	34664.5	33545.2	78303.4	18512.6	15750.9	17810.7	58580.7	40688.5	6124.08	39081.1	54827	54107.1	4257.73	59611	43131.8	13393		18215.5	36651.7	53089.7	2708.31		14189.3		13035.8	10241.8	12842.7
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3	A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3	WASH1_HUMAN;WASH2_HUMAN;WASH3_HUMAN;WASH4_HUMAN;WASH6_HUMAN	WASH2P;WASH3P;WASH4P;WASH6P;WASHC1	WASH complex subunit 1											2262.01	1752.7	1212.87	1157.96	1392.32			1113.45				2126.01		918.563	1131.81	1364.1	2173.46		1426.47		1074.07	961.712	1334.77	981.287	1179.62
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1	17448.8	3272.26	4404.46	16270.1	18376.8	3599.84	19395.1		5920.2	6661.73	15022.6			6952.98	6422.32	5762.98		6858.98	10482.5	9072.4		14099.3	6557.68	3119.4	3640.99	8607.33	7421.67	15768.2			5868.92		4927.02		8021.88
A8MWD9;P62308	A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	60864	50603.9	49660.5	55258.2	51278	52779.9	36978.6	57362.1	50051.3	40816.6	37244	93185.8	100279	96945	104301	92764.8	93498.5	72754.4	70831.9	73814.2	80013.7	70080.4	66686.4	99384	105187	99234.6	97322	90942.2	106603	93831.3	106411	106858	99485.5	100940	87821.9
B5ME19;Q99613	B5ME19;Q99613	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	24123.5	22273.2	20754.3	22695.6	18025.7	18679.2	15181.8	20843.4	16903.2	15616.1	13003	34728	33938.7	33768	36753.2	35102.9	38633.7	29063.2	31947.5	30436.6	29725.7	24860.5	25503.7	34309.6	34570.4	34170.2	32612.5	31456.9	36170.7	34716	34769.6	35863.7	35106.9	35075.7	31094.1
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	15216.4	17437.2	14770	18234	18409.5	17671.5	17279.4	21549.8	15202.8	17934.9	16857.1	22375.4	22269.4	22062.2	23257	20041.7	16380.8	16057.2	16274.4	14601.7	14506.4	13129.6	13921.1	23392.8	21579.2	22893.3	21190.7	22017.8	21630.4	23986.8	20407.5	20205.1	21324.8	20685.9	19584.4
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98		2084.39			1506.49	2652.53		1460.41	1893.7			2141.42	1770.06	1557.81	1936.77	2272.87	2453.05	2360.4	1694.83	1432.81	1441.19	2447.13	2018.47	1728.93	1923.18	1885.71	1666.67	1824.96	1581.45	1881.13	1838.3	1646.78	2320.74	1563.48	2079.54
F8WCM5;P01308	F8WCM5;P01308	INSR2_HUMAN;INS_HUMAN	INS;INS-IGF2	Insulin, isoform 2									3879.39			5965.94	6977.6	6392.28	4757.16	4495.74		1904.37	1519.88	1434.99	2964.8	3549.43	2287.25	5204.98	4996.49	5459.77	6446.11	5380.11	6013.53	4220.78	4686.94	6194.69	6538.14	6225.76	6077.06
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2758.06		2282.81			1970.06	3189.36				2870.5	1508.09	1704.79	1922.9	1180.45	1593.66	2706.91	1685.14	2354.37		3254.31	2806.86	1971.52	1829.89	1725.9	1969.51	1554.46	2205.91	1434.93	2026.4	1654.56	1006.68	1213.79	2070.1	2124.12
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	17159.2	14219	10719.9	11895.1	9668.29	11133.9	11866.5	10651.7	9188.38	8341.65	13106	18562	15258.2	17085.2	17883.3	16952.1	17929.8	18530.7	17523	16194.2	18861.1	15360.8	17676.5	15256.3	15960.9	16579.4	16387.4	16779.7	14370.8	14757.2	17082.3	15376.4	17948.9	15056.3	15441.8
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	6792.29	4628.66	3504.11	4390.38	3771.07	4010.89		6709.03	2727.41		2901.69		20490.2	20003.6	19298.3	6801.18	6715.7	7015.06	6987.34	7433.77	5775.65	5710.22	4185.18	20625.4	21332.9	21315.3	22185.1	17597.2	19673.9	25983.4	21292.1	21786.6	21850	10029.7	19227.9
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	14446.6	11809.5	17775.9	15042.1	18613.1	18383.4	13447.6	16290.5	28220.9	26884	18233.3	5900.82	6442.68	6508.51	5631.67	9387.46	13394.2	11110.6	12954	14749.1	12136.3	16187.9	11647.4	6128.88	5042.13	5799.3	6385.95	5201.27	6981.74	7486.18	5685.13	6186.58	6126.08	6885.46	8613.68
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	7414.36	8165.45	4181.08	5268.3	5711.21	5964.27	7330.38	6499.16	5682.53	5458.52	5664.9	7725.1	7983.33	8299.12	8869.26	7702.13	7086.44	8314.34	6376.5	6085.57	7862.91	8034.21	8618.91	8269.84	8547.52	8114.7	8776.04	8428.11	8118.36	8185.81	8726.82	8665.82	8702.09	8284.08	8307.91
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	3995.14	5800.73	6010.56	7342.78	5387.97	7762.62	6281.85	6839.21	6522.86	7759.14	6322.75	3426.62	2726.93	2139.88	2782.41	4682.67	4948.17	9292.21	5474.16	4398.9	4302.38	7298.82	7535.84	2122.67	2207.54	2906.48	3210.35	2343.6	1707.96	2951.83	2459.95	2438.09	2588.4	2409.21	3561.35
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	9104.44	6540.49	6867.44	5368.45	6080.45	5650.49	3645.97	5247.66	5249.59	3413.85	2997.2	8770.22	8772.77	9316.7	8417.62	11560.6	9901.91	9938.99	11936.9	10643.3	9309.35	10478.8	7918.91	8202.75	8117.19	8081.42	7947.47	7945.06	8226.3	8153.83	8886.57	9466.47	8295.67	8751.71	7990.4
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	4065.03	2015.68	3208.86	1154.09					1398.71			4796.09	3220.23	4398.8	3718.72	3052.82	3353.62	2491.94	3263	2544.78	2712.22	2154.56	1286.33	3888.48	3552.94	4326.83	4431.02	3353.98	3687.49	4169.97	3543.62	4505.07	4400.94	4213.78	4444.78
O00203	O00203;Q13367	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	8332.13	6885.84	6871.91	7302.43	6039.99	5727.09	4598.98	6689.25	5361.08	4786.23	3844.95	10585.8	10317.4	9722	10436.7	9726.47	11836.2	8492.72	8757.04	8764.66	8465.77	8766.5	8007.73	10314.9	10371	9712.39	10375.4	9774.53	11092.5	9763.14	10273.9	10612.3	9680.81	10418.2	9468.94
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	7492.62	6447	7372.09	6351.62	6996.81	7851.87	6664.45	8568.36	7496.18	6878.89	6089.06	5828.16	5227.85	4854.67	4837.98	5275.32	5532.57	6771.72	7035.27	6371.33	6381.86	5625.75	6576.54	5085.59	5007.7	5141.76	5917.55	5356.75	4938.75	5564.15	4995.64	4298.93	4834.12	4866.56	6715.87
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	7831.16	8482.58	5732.04	6589.7		4825.1		6881.29	4851.79	6504.85		10632.2	10388.5	10143.5	9543.64	8407.78	9033.71	11461.7	8682.3	10076	8805.37	9353.06	9263.6	10379.7	10773.1	11079.5	11762.8	10447.3	10547.5	11568.3	10512.6	9078.07	10918.8	10592.4	12313.9
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1	21878.8	29939.6	26074.5	19320.7	16354.1	30945.4	12410.9	16478.3	20745.4	19725.1	11309.8	13925.1	13625.6	10544.3	9118.06	24963.4	28600	26149	24995.9	27052.9	35673.1	29777	34677.8	11177.1	10426.2	13713.5	15907.1	17403.2	11932	10366.6	12984.5	10462.3	12937.5	14085.4	21151.8
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	5367.04	5412.17	5243.71	6894.43	9253.8	4885.76	6709.45	4617.4	5795.89		3522.84	10934	10946.7	10937.3	11790	9972.51	8993.55	7857.7	8985.16	7806.68	7232.56	6030.91	7021.83	12076.2	10885	11599	10835.5	10709.3	11447.8	11197.3	11526.9	11395.5	11438.4	12340.4	9551.38
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	14630.9	15788	10836.4	10489.6	11238.6	8267.69	17416.4	8611.45	10308.7	8681.1	14952.3	7803.38	7556.46	7731.43	7283.56	10102.3	10507.7	13092.6	13900.7	12046.9	9609.82	13004.3	13156.9	7225.63	8191.29	7224.91	8262.45	8564.12	6859.2	8360.45	6738.7	7448.44	7290.72	7583.94	13925.7
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	39611.5	33394.5	27525.1	32197.9	29471.8	28927.4	24486.3	28282.1	26570.9	20679.6	18458.8	35795.4	37265.2	37735.9	38803.3	48112.5	48037.2	41850.1	44868.3	42146.7	40536	36790.2	34777.4	34200	32983.8	35674.5	33160.5	35290.5	35743.3	35439.4	38684.4	37789.2	35128.5	35636.5	33411.7
O00401	O00401	WASL_HUMAN	WASL	Neural Wiskott-Aldrich syndrome protein	8317.59	4666.26	7565.22		18717	5006.69	7496.12	8237.39	6949.79	8997.43		9204.01	9374.37	9262.3	9061.33	7762.55	5916.97	6524.06	9129.22	10294	5596.57	8691.58	7798.47	10151.1	9096.87	9861.22	10409.5	10744.9	9466.79	9071.61	8958.12	8889.83	10090.9	9509.08	9401.41
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	3070.71	3507.71	2934.86	1905.73	3764.31	2698.38	2453.2	3519.61	3403.36	4090.94	2834.05	3736.22	4179.19	3665.95	3060.81	3746.72	3618.41	3863.66	4342.79	4710.21	3359	4204.54	4669.83	4543.12	3785.83	3813.6	3714.97	4178.58	3256.18	3612.23	4091.62	3726.38	4212.19	4040.22	4250.27
O00425	O00425	IF2B3_HUMAN	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3	5645.06	7433.58	5705.2	5645.55	5984.75	6348.2	4282.33	5672.28	5881.34	5835.21	5012.2	6477.37	6553.84	6230.22	5698.25	7929.93	8010.36	6577.38	7165.58	6974.36	7927.27	7196.93	6995.39	6247.97	5586.24	6483.42	6300.6	6801.82	7135.31	7439.84	6999.55	6430.62	6536.67	6036.17	6398.34
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	9293.59	8588.08	7756.22	10058.1	9784.94	12434.6	9921.68	12694.3	9904.66	9432.35	11974.5	12325.1	10894.5	11948.8	12271.3	9170.95	9533.53	8495.58	7466.01	7952.34	8307.46	8260.97	7592.51	12211.7	11548.4	12180.7	12432.4	12270.9	11994.7	10909	12678.8	12135.9	12140.8	11679.8	12686.7
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	4087.35	3237.6	3368.54	4269.54			3484.77	4788.71	1881.74			7466.09	7571.94	7638.52	7190.9	5334.29	6434.47	4142.1	4751.79	4542.93	3822.72	4507.32	4042.75	7109.65	7495.08	7196.03	7564.55	7375.83	7422.91	7144.52	8009.23	7700.63	6851.64	7884.32	7514.04
O00443	O00443	P3C2A_HUMAN	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha												1234.36	1055.31				1575.94							917.191		1467.45	1585.6		1085.97	1079.11		1014.78			
O00471	O00471	EXOC5_HUMAN	EXOC5	Exocyst complex component 5		5235.1					36238.5					9185.09	9515.07	9386.63	9259.94	7288.69	5829.26	8516.49			5560.29	10797.6	8651	10174.6	8955.31	10248.5	11826.1	13736	7705.45	8453.48	12169.5	9669.97	9492.97	9672.63	7195.87
O00479	O00479	HMGN4_HUMAN	HMGN4	High mobility group nucleosome-binding domain-containing protein 4	2349.09		1718.54									6205.35	5160.32	5923.54	4292.24				2733.49	3317.42		2470.01		6022.67	6391.78	4562.93	3689.19	4602.53	6019.63	4982.04	5509.83	5338.51	6523.04	6286.21	6411.15
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	11148.3	12134.2	8775.91	14286.3	15593.1	12446.8	10979.9	10276.2	10728.1	11987.1	9223.82	9555.49	9315.4	8229.97	8696.68	9366.38	10452.8	10772.5	10622.2	12749.4	14443.6	10637.4	10654.2	7853.53	9124.39	9710.77	11420.4	9742.04	9249.29	11006.3	10097.3	8613.15	8941.46	8254.28	10069.4
O00488	O00488	ZN593_HUMAN	ZNF593	Zinc finger protein 593	5612.11	3334.14	3252.33		4245.81	2521.75				4078.66	4706.74	4270.09	3989.83	3881.23	4708.16	5930.15	6353.05	5230.27	3062.26	5342.03	4597.73	3798.36	4491.37	3903.69	3594.26	4001.81	4793.92	3005.84	3899.43	3314.38	3502.79	3051.84	4032	4291.95	4085.63
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	901.697	733.964		1111.8		1111.14	781.003	742.094				1583.98	1230.15	1201.83	1033.17	1107.75	1984.33	1418.26				1065.3	1500.22	856.631	1314.66	1187.86	1223.6	1230.31	1167.81	1161.37	1454.17	908.238	1653.41	1040.38	1249.49
O00541	O00541	PESC_HUMAN	PES1	Pescadillo homolog		3629.79	4626.53	4611.98	3642	2693.14		5007.04	4379.07	3832.23		7648.73	7721.19	8092.89	7006.62	6747.94	5559.99	5864.65	6067.72	4759.26	5983.05	4390.21	5378.1	8017.65	8011.31	7673.88	7791.76	7755.19	7481.38	7801.32	7635.27	8169.62	7320.1	8381.36	7758.13
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	1918.14	4645.72	2372.54		2092.47	1423.76		1460.68	1470.62		1523.53	1267.41	697.216	809.722	789.467	1488.02	1522.03	2279.41	2129.94	2513.79	1191.13	2237.8	1625.83		761.329	777.942	744.525	1071.12	821.43	457.001	346.743	763.768	840.824	703.502	2014.2
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	4989.57	4628.12	6513.84			4524.91			7630.34	2124.57	4341.25	12365.4	11850.5	10535.5	11638.8	6343.12	9345.99	8759.72	5992.3	6599.75	12129.7	12515.8	4122.71	12503.5	14131.7	13623.6	13622.7	12604.6	14180.7	15550.2	12306.4	12865.1	13284.6	12716.8	13018.4
O00571	O00571;O15523	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	47593.7	39758.9	34223.6	36200.2	32670.8	33621.1	41959.2	33338.5	29826.9	29551.5	33661.5	68825.1	68633.6	69750.4	70923	64360.7	62577.1	54141.4	53667	53122.7	47011.7	45544.8	40102.2	67334.8	67332.1	68011	68182.3	64392.6	66824.2	70861.3	66548.4	62127.2	66285.9	68565	66102.8
O00712	O00712	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type		2257.54	2009.34			3983.29						2359.11	3898.94		1424.95						5788.46	2932.36	6797.45		2687.02	1413.38	2843.48	2018.47		1165.69	2072.07	1033.07	3204.33	1817.03	1310.32
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase		1059.65										2349.58	2134.9	1585.32			2321.97				4821.68		2741.31	2296.2	2677.43	3155.09			2041.38		2463.08	2288.69	2115.66	1749.75	2101.65
O14530	O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9		1030.9			805.405	1191.59		1234.96			928.474	1199.85	1129.8	819.672	1037.66	926.373	1327.43	1095.97	1284.86			1962.35	1301.55	1414.03	1070.01	1517.65	853.883	1014.88	1117.76	1003.26	1118.47	1325.79	1180.17	1414.6	1377.51
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1												1341.2	1085.71	992.231	1808.77		1356.86							1077.29	1392.45					1388.51	1113.84	1158.16	1960.83	1006.14	1188.27
O14602;P47813	O14602;P47813	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	23371.9	23603.3	18164.8	24914.5	18573.1	19265.3	11808.1	19558.4	12789.9	10415.7	9474.99	71377.4	76286.2	79012.5	83292.8	52715.2	54401.6	41068.4	38430.7	30667	29474.1	21590	28477.4	66224.8	77006	75690.4	77149	72233.6	71167.3	66248.1	63413	49348.1	69915.2	74689	65018.1
O14617	O14617	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	7224.98	5907.51	4706.66	6425.61	4852.75	4363.44	3782.51	5673.92	6007.26	4501.97	3066.22	8437.92	8846.21	9420.45	9044.5	9763.44	9298.58	7561.2	8868.56	8915.56	7010.51	8646.43	7496.28	9466.04	9252.61	8928.86	8795.35	9142.4	9399.49	10605.1	9000.49	10273.7	8866.6	9582.96	8164.79
O14641	O14640;O14641;P54792;Q92997	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2		3501.05	3836.96				6323.29	5301.5		3037.53		4510.94	4381.66	6322.18	5450.23	3544.16	4929.71	2794.25	4308.9	6268.15	2731.55	4925.36		5096.57	3645.44	4443.23	5592.18	5348.4	4722.82	5841.22	6172.01	5448.97	4299.87	5386.07	4801.97
O14646	O14646;O14647;Q3L8U1;Q8TD26;Q9HCK8;Q9P2D1	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	5188.46	3751.81	4922.61		4571.76							5102.75	4818.45	5297.46	4415.55	6034.54	7394.46	6776.37	7825.1	6542.39	7092.21	6535.77	5396.42	4679.73	4376.31	4745.5	5135	4527.87	5930.29	4939.42	5690.65	7107.66	3970.99	5170.14	4372.53
O14654	O14654	IRS4_HUMAN	IRS4	Insulin receptor substrate 4	13592.8	8337.39	11514.5	9689.27	10751.6	9394.07	10957.9	13341.2	11771.4	9896.31	11338.7	16163	14986.3	16689.5	15492.4	15181.4	13801.4	11769	15742.7	13508.1	13334.9	13213.4	11075.8	16849.8	16587.8	16371.5	16636.8	14780	16695.2	16899.7	16039.9	16609	16011.4	16644.9	14611.3
O14733	O14733	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7												2873.4	3515.95	3136.16	3457.54				2335.28	1350.2				3071.82	3471.1	2898.72	2906.88	3065.34	3803.9	2750.13	3136.26	3438.02	3089.87	3058.94	2765.18
