Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	TU014892CK_Slot1-01_1_3148.d	TU014893CK_Slot1-02_1_3149.d	TU014894CK_Slot1-03_1_3150.d	TU014895CK_Slot1-04_1_3151.d	TU014896CK_Slot1-05_1_3152.d	TU014897CK_Slot1-06_1_3153.d	TU014898CK_Slot1-07_1_3154.d	TU014899CK_Slot1-08_1_3155.d	TU014900CK_Slot1-09_1_3156.d	TU014901CK_Slot1-10_1_3157.d	TU014902CK_Slot1-11_1_3158.d	TU014903CK_Slot1-12_1_3159.d	TU014905CK_Slot1-25_1_3161.d	TU014906CK_Slot1-26_1_3162.d	TU014907CK_Slot1-27_1_3163.d	TU014908CK_Slot1-28_1_3164.d	TU014910CK_Slot1-30_1_3166.d	TU014911CK_Slot1-31_1_3167.d	TU014912CK_Slot1-32_1_3168.d	TU014913CK_Slot1-33_1_3169.d	TU014914CK_Slot1-34_1_3170.d	TU014915CK_Slot1-35_1_3171.d	TU014916CK_Slot1-36_1_3172.d	TU014919CK_Slot1-14_1_3177.d	TU014920CK_Slot1-15_1_3178.d	TU014921CK_Slot1-16_1_3179.d	TU014922CK_Slot1-17_1_3180.d	TU014923CK_Slot1-18_1_3181.d	TU014924CK_Slot1-19_1_3182.d	TU014925CK_Slot1-20_1_3183.d	TU014926CK_Slot1-21_1_3184.d	TU014927CK_Slot1-22_1_3185.d	TU014928CK_Slot1-23_1_3186.d	TU014931CK_Slot1-37_1_3189.d	TU014932CK_Slot1-38_1_3190.d	TU014933CK_Slot1-39_1_3191.d	TU014934CK_Slot1-40_1_3192.d	TU014935CK_Slot1-41_1_3193.d	TU014936CK_Slot1-42_1_3194.d	TU014938CK_Slot1-44_1_3196.d	TU014939CK_Slot1-45_1_3197.d	TU014940CK_Slot1-46_1_3198.d	TU014941CK_Slot1-47_1_3199.d	TU014942CK_Slot1-48_1_3200.d
A5A3E0;Q6S8J3	A5A3E0;Q6S8J3	POTEE_HUMAN;POTEF_HUMAN	POTEE;POTEF	POTE ankyrin domain family member F	122376	140010	106944	123367	114208	134534	188312	138238	128727	135315	56202.7	137372	140724	126134	137406	140337	105854	125534	129690	146752	138993	144001	127863	91495.1	70685.3	87070.6	86255.4	80075.6	96794.3	84656.3	143018	94940.4	88292.9	108083	103541	132526	126769	97290.5	125860	87697.7	86104	104484	105010	84257
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1872.62	1812.78	1228.76	1875.38	1366.65	1608.92	1924.04	838.645	1246.53	1138.76		1507.11	1486.1	1013.94	1510.82	1978.66	1123.63	1337.85	1665.88	1395.89	733.861	1256.83	967.043																					
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	3666.55	3789.27	3012.66	3675.93	3457.98	3292	3552.95	3159.21	3552.36	3301.32	9577.42	3488.95	3558.63	3757.99	4316.06	3653.35	3457.87	3393.24	3971.88	3625.85	3097.62	3883.52	3787.05	4927.31	5079.66	5213.52	4810.34	5114.96	5236.75	5235.4	5582.88	5014.7	5493.18	4515.12	4884.69	4924.43	5029.81	4762.43	4818.7	5329.82	5076.89	4988.64	5210.27	5872.2
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8;Q9H492	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	4955.17	5214.75	5420.05	4370.38	5416.45	4756.55	5355.97	5200.03	4953.75	3258.85		7675.52	4878.18	3884.16	3368.82	3142.37	4065.4	3997.92	3625.26	3560.44	2782.91	3305.99	4761.09	4597.23	5567.97	5263.9	4092.51	4514.98	4343.54	5250.79	5235.96	4172.94	6519.86	3647.87	3634.73	4478.68	4760.33	3847.62	5273.77	4040.58	4306.48	3717.99	5167.23	6469.83
A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2	A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2	U17L1_HUMAN;U17L3_HUMAN;U17L5_HUMAN;U17LA_HUMAN;U17LB_HUMAN;U17LD_HUMAN;U17LF_HUMAN;U17LH_HUMAN;U17LI_HUMAN;U17LJ_HUMAN;U17LK_HUMAN;U17LL_HUMAN;U17LM_HUMAN;U17LO_HUMAN;UL17C_HUMAN	USP17L1;USP17L10;USP17L11;USP17L12;USP17L13;USP17L15;USP17L17;USP17L18;USP17L19;USP17L20;USP17L21;USP17L22;USP17L24;USP17L3;USP17L5	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3			2482.26		2376.14				6439.48		6695.4	23207.8								2119.69	2357.88				29831.5		4066.78		8139.54	65340	4316.38	22159.5				3795.9					5212.72		4933.74	
A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G	1003.2	1075.41	683.429	596.009	1096.68	670.437	1409.56	798.299	938.256				1021.2	629.648	1912.35		512.548	978.799		1041.56		849.268	799.854	1225.32	1271.02	1458.42	1469.2		1610.14	1812.78		1301.41	975.404					1618.88	1283.64					
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	1751.11	1189.86	1406.25	1488.69	1549.1	2112.83	973.829	1412.35	1593.48	1384.81		1621.5	1527.76	1851.32		2532.74		1205.37	2732.43	1066.96	1245.29	2576.53	2132.91																					
A6NFN3;O43251;Q9NWB1	A6NFN3;O43251;Q9NWB1	RFOX1_HUMAN;RFOX2_HUMAN;RFOX3_HUMAN	RBFOX1;RBFOX2;RBFOX3	RNA binding protein fox-1 homolog 3	2353.93	1716.93	1723.5	2126.39	1450.15	1098.15	2472.25	1888.85	1707.1	2567.9		2753.6	2075.65	1410.34	1808.95	921.87	1254.24	1159.31	2058.01	2050.49	1171.39	1822.79	2032.18	1091.27	1139.8	1496.08		1704.58	947.76	1431.17	1250.27	1363.81		1366.45	1116.88	1388.27	1187.21	1064.89	1671.08	1083.79		1332.66		1199.29
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	5741.46	8963.3	5506.91	6372.57	6039.92	6771.24	7523.16	8913.86	5059.23	1428.35	6799.42	7842.17	4887.25	6682.8	8214.53	1681.6	5621.57	6288.32	8184.43	6888.98	2202.11	7043	7879.2	7192.85	5636.57	6660.84	5860.39	7202.38	6588.21	6053.82	7213.72	6191.74	6766.01	6554.88	5878.04	6723.07	6895.56	7019.66	7493	8290.8	5546.62	5889.58	3347.05	12603.5
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1737.54	1522.52	1640.01	1448.08	1640.1	1553.05	1610.93	1878.06	2126.48	2169.24		1652.46	1966.21	1892.51	2329.02	1791.62	1520.41	2055.71	2092.98	1534.02	1529.31	1736.8	2145.29	3147.45	3251.88	2987.14	3222.29	3152.6	2810.85	3256.89	3127.77	3672.9	3491.54	3255.71	2981.9	3168.26	2946.37	2901.19	3110.44	2915.68	3120.92	3101.57	3209.31	3393.87
A6NIH7	A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	928.014	1144.85	1303.38	1631.29	466.606	917.569	1285.41	1006.52	1514.98	763.053		1448.26	1237.77	987.939	1377.25	1405.77	1156.6	1019.94	947.693	1604.09	1887.86	927.445	1861.26	1757.38		1969.1	1977.09			2207.6				2607.84	1993.16			2132.47						
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C	2217.58	2337.08	2009.42	2415.82	2558.2	1978.53	1865.4	2067.76	2272.52	1740.66		1542.48	2079.53	1964.6	1468.71	1841.64	1879.27	2094.97	849.969	2095.82	1600.74	1147.75	2068.23	3123.86	3602.56	3557.33	3502.71	3064.96	3534.71		2995.96	2926.64	3169.22	3209.49	3076.98	3140.63	2995.01	3307.38	2860.67	2875.96	3250.82	3077.36	2837.24	3057.11
A6NKT7;Q7Z3J3	A6NKT7;Q7Z3J3	RGPD3_HUMAN;RGPD4_HUMAN	RGPD3;RGPD4	RanBP2-like and GRIP domain-containing protein 3	178.305	443.362	863.853	883.146	860.7	669.107	814.429	358.675	441.636	608.079		553.809	1062.72	827.112	169.333			739.417	904.521	890.204		691.41	395.244																					
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1		1455.48	2595.03			1247.26	1996.25	2948.23	665.626			1602.03	1788.36	1190.18																										895.13				
A8MPP1	A8MPP1;Q92771;Q96FC9	D11L8_HUMAN	DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	2216.77	2094.08	2252.37	2541.61	1857.75	2043.96	2376.88	2131.06	2378.95	2546.38	3911.81	1772.47	2005.15	2349.61	2473.4	3445.23	1924.04	2475.22	2644.65	1962.42	3647.02	2623.25	2359.68	3727.84	3204.13	3666.89	3869.65	3351.03	3345.19	3847.6	3168.49	4558.05	4301.58	3835.65	3296.94	3294.82	3569.57	3712.5	3772.88	3516.36	2751.11	3795.81	3141.45	3071.93
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein			349.877	436.168	402.741	253.048	333.59	275.505	420.38						383.012		200.596		322.428	240.432	308.667		686.732	981.792		1018.13	1133.9				919.367		979.307	877.823				982.885	1022.97	911.367				921.876
B2RBV5	B2RBV5	MRUPP_HUMAN		Putative MORF4 family-associated protein 1-like protein UPP	2151.2		1738.8	2043.83	1663.62	1515.39	2327.44	2374.83	2608.32			2340.29	1948.28	2011.86	2338.97		2536.59	1589.53	1991.47	1640.84	1220.67	1846.33	1563.22																					
B5ME19	B5ME19;Q99613	EIFCL_HUMAN	EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	53337.4	52415.7	53630.5	51429.4	50285.9	50593.6	47130.6	52608.8	51695.8	43060.1	35916.4	46253.9	57027.3	51712.5	50461.5	42173	52292.6	51659.4	48022.2	51570.7	42833.5	50066.9	48989.1	36342	35463.2	40500.1	36351.4	36200.1	37123.3	38300.7	37402.7	34973.5	32108.2	39739	34824.2	36215.5	36927.6	37326.4	33534	34699.4	31843.7	33999.2	28248.2	36053.7
C4AMC7;Q6VEQ5	A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3	2971.55	2854.21	3262.89	2867.11	2649.3	2912.01	2023.88	3345.48	3477.07	2904.48	3791.25	3393.62	2836.19	2770.96	2704.02	4366.62	3402.43	2872.11	3364.3	2757.28	3543.42	3373.38	3242.36	4427.17	3805.61	3623.16	4177.66	3234.04	3466.45	4111.71	4025.75	4015.15	3036.66	3827.75	3031.8	3887.02	3218.88	3173.89	3084.16	3501.74	3875.04	3803.15	3436.41	3093.12
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1		824.42	1251.69	704.932	1144.49	565.61		638.773	1016.3	719.019				443.32						1169.36	2001.63	1052.3							3107.3															
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98	3389.36	3921.38	3308.36	3081.39	3581.76	3332.71	2750.84	3394.97	2235.08	4061.31	957.885	2784.29	4323.71	2768.98	4316.32	3447.88	2884.92	3507.16	2488.02	2518.85	3179.93	2847.9	2906.24	2859.92	2596.13	3189.69	2842.73	3249.01	3155.53	3188.66	3442.35	2963.93	2783.95	2925.42	2685.98	2677.69	2519.4	2777.89	2047.76	2787.3	2304.03	3040.54	3603.77	3510.28
F8WCM5;P01308	F8WCM5;P01308	INSR2_HUMAN;INS_HUMAN	INS;INS-IGF2	Insulin, isoform 2															7576							1329.85	3069.83				1289.45											3182.73						
G2XKQ0;P63165	G2XKQ0;P63165	SUMO1_HUMAN;SUMO5_HUMAN	SUMO1;SUMO1P1	Small ubiquitin-related modifier 5	2725.32	2737.04	2682.16	2781.13	3055.76	1797.86	2495.47	3179.47	2420.39	2684.86		2239.2	3204.69	2389.7	1658.95	2148.58	2983.89	3250.51	2283.23	2890.01	2701.5	4131.07	2537.64	3642.45	3667.25	3525.41		2715.99	3649.62			3128.39	3075.56	3077.6	2717.92		3403.48		3323.83	3088.43		3303.83		
L0R819	L0R819	ASURF_HUMAN	ASDURF	ASNSD1 upstream open reading frame protein	1496.74	1751.01	1550.36	1352.12	1248.91	1880.61	1599.52	1294.64	1554.74	2492.08		2099.13	1642.46	1028.79	2070.93	2067.56	1566.74	620.759	985.156	917.681	1126.39	1156.88	1385.24	2943.8	2903.03	2695.01	2714.43	2852.95	3457.14	2772.89	2694.56	2728.87	3098.74	2967.54	2394.06	2255.34	2533.86	2505.48	2684.99	2427.53	1374.56	2774.54	1916.98	2940.36
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	510.962	891.782	925.346	542.711	659.5	462.51	237.617	540.54	582.869	790.377			658.916	462.827	768.96		813.948		358.711	664.755		329.088	370.01																					
O00139	O00139	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	3724.04	3912.73	3252.5	2910.42	3430.66	2909.3	2818.48	4117.1	4076.78	3130.58	4026.86	3257.39	3955.65	3748.99	3513.63	3825.92	4718.03	3408.44	3712.85	5078.92	3999.07	3513.55	3616.66	3885.52	3798.48	3386.66	3379.37	3431.83	3308.7	4026.38	3853.26	3468.06	3735.17	3896.19	3528.29	4929.13	4113.16	4145.73	5030.09	4379.63	4224.56	4209.36	4191.52	4036.51
O00148	O00148	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5795.98	4684.63	4809.76	5695.04	5359.12	5414.98	4753.75	7363.21	6900.04	3737.91	4403.15	5474.11	4077.26	4549.52	5975.55	3346.76	7342.79	4724.26	7860.34	5244.29	4295.65	6832.18	4713.03	6095.54	5789.4	6077.77	5861.23	4623.69	4864.12	7250.85	6280.01	5671.75	5010.44	4977.38	5183.09	2475.54	4107.34	5810.03	3651.6	5017.84	3731.46	5300.39	3107.69	5548.41
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	2294.86	2594.1	2505.96	2251.27	2452.61	2555.15	2450.37	2319.06	2574.56	2520.29	2211.08	2741.38	2260	2639.34	2764.09	2222.79	2130.99	1996.09	2535.26	2789.86	2641.72	2833.28	2819.19																					
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	14096.1	15927.4	15454.4	16098.4	15329.3	14375.1	13484.7	16901.9	18432.9	15622.5	9878.02	13642.8	11028.5	14597.1	14057.6	13999.8	13477.6	13232.9	14484.5	17206	14777.5	13907.1	14856.9	14687.4	12375.8	13025.1	14204	12444.5	14882.2	13531.8	11484.5	14350	12370.4	13603.5	11834.4	11756.8	11903.5	14682.4	14699.7	13656.8	11875.4	14278.8	13324.3	11517.9
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	236.897	277.493			316.116		248.203												301.93	115.617		154.97			489.14	448.112	459.351	335.39	549.306		406.075	315.153	445.947	434.737	407.891		461.985	346.639			205.434		465.29	550.404
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	4871.59	4941.07	5655.59	4445.32	5397.57	5376.64	4866.8	6019.62	4979.72	7779.26	4062.28	3983.74	4748.35	4741.63	4778.69	5560.57	5753.72	4824	5240.99	5388.37	6067.94	5485.58	4492.24	4506.59	3598.06	4079.99	3814.49	4131.06	3948.31	3898.67	3910.37	4254.55	4113.83	3296	3517.8	2476.53	3650.36	2911.57	3445.84	3305.01	2478.86	3046.95	3686.11	3105.64
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	2427.22	2099.23	2544.57	2108.1	2451.62	2021.14	2363.07	2261.83	2348.98	2562.23	3534	2460.27	2927.28	2948.28	2693.32	3028.43	3002.28	2846.75	2949.2	2912.48	3232.64	3133.53	3109.79	4409.52	4680.24	5017.55	4323.17	4829.25	4490.19	4055.22	4418.19	4744.97	4122.34	5183.34	4748.64	5047.19	4686.43	4747.54	4665.96	5279.28	5942.85	4927.8	5704.98	5591.39
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1048.38	990.1	1023.91	1321.69	1034.8	825.495	1505.44	1068.47	1126.98	1630.13		2131.09	977.108	934.416	1864.41	1448.34	1276.6	622.145	699.218	1137.6	1639.27	1179.85	1645.83	1613.71	1538.61	1862.48	2251.96	1474.8	2090.09	1944.82	1812.33	1976.34	1523.26	1950.04	2141.27	1844.92	1967.68	2134.48	1775.89	1594.08	1962.09	1988.82	1456.62	1877.6
O00203	O00203;Q13367	AP3B1_HUMAN	AP3B1	AP-3 complex subunit beta-1	8871.21	7519.69	8197.78	7785.99	7906.09	7336.21	7206.79	7045.8	7517.36	6636.99	7126.59	8750.1	9085.11	8061.05	9524.77	7663.65	8270.9	7822.04	7715.31	7714.5	7114.53	7466	8428.58	7291.43	6737.83	6736.38	6799.74	6959.58	6657.66	7151.78	6960.52	7045.79	6781.95	6597.96	6807.33	6934.84	6575.55	6420.92	5481.71	7113.64	6308.27	6696.54	4906.39	5809.34
O00204	O00204	ST2B1_HUMAN	SULT2B1	Sulfotransferase family cytosolic 2B member 1							2141.38																																					
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	4773.82	4799.14	4362.1	4791.34	4303.97	4790.94	5620.02	4987.64	4774.32	1889.28	6927.23	4992.17	4606.74	5288.23	4831.13	2741.7	4732.16	4727.75	4858.8	4566.32	2525.67	4487.85	4089.74	3690.33	3749.25	3543.66	3268.9	3529.27	3837.69	3962.8	3837.75	3731.92	3659.45	3423.55	3425.35	4352.51	4171.6	3876.88	3889.87	4153.88	4957.12	4286.36	2827.59	4875.52
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	3385.63	3678.46	3282.05	3376.4	3741.97	3211.34	3766.58	3696.05	3000.74	3805	4518.59	3726.56	3977.24	3858.04	2783.28	2200.7	3679.16	3380.35	4026.46	4236.69	3231.97	3706.31	3907.65	5782.97	4604.46	5404.75	5972.01	4470.77	5724.04	6198.15	6577.79	7050.86	4723.17	4759.78	4666.69	7012.58	5312.98	5249.91	5093.64	4374.32	6952.29	6106.3	4852.21	5702.64
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9	2982.42	2755.59	3144.58	2319.59	3449.92	2488.64	3631.3	2729.51	4129.74	3491.82	1814.59	1944.32	2958.1	2349.39	2925	3856.59	3094.3	2595.12	3174.9	3235.61	4840.47	3078.45	2924.4	4655.95	3973.58	4409.84	4617.68	4129.87	4545.99	4554.49	4838.86	5157.69	5749.67	5184.41	5664.3	4750.73	4913.4	4839.39	4699.13	4726.71	5065.6	4459.22	5358.12	3520.32
O00255	O00255	MEN1_HUMAN	MEN1	Menin	1051.37	667.447	659.564	945.675	907.315	2064.72	1234.34	647.822	476.698	506.32		507.621	1277.85	709.63		774.85	541.21	1173.21	1038.66	724.335	456.139	1158.03	1077.61	943.492	1448.3								914.08	754.383										
O00267	O00267	SPT5H_HUMAN	SUPT5H	Transcription elongation factor SPT5	5738.85	6187.1	6176.33	5948.64	6112.98	6225.45	5894.09	6395.37	6209.12	6862.72	7659.2	5433.3	5275.76	6236.41	4914.83	6699.1	6867.7	6582.15	6475.61	7025.49	6617.32	6643.39	6489.11	7087.49	6836.98	7157.23	7303.51	6835.61	7662.4	7360.1	6475.77	7010.15	7400.49	7368.2	7052.93	7209.06	7235.14	7376.98	6888.83	7434.13	8065.7	7146.26	7972.96	7714.94
O00273	O00273	DFFA_HUMAN	DFFA	DNA fragmentation factor subunit alpha		376.524	443.056	477.615	265.369		437.479	357.592	384.122				742.547	410.063	330.389	481.821	343.449	227.111	361.586	571.639		691.987	325.77	1102.83		1662.12	1657.87		1527.85	1666.89	1547.66	1940.62		1976.4	1724.66	1423.38	1859.14	2257.45	1431.57	1976.1	2286.36			1705.95
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	2604.31	2341.07	1601.36	2326.23	2510.73	1836.97	4197.35	2411.82	2374.3	1956.98	2051.35	2735.51	2116.3	2659.62	2144.42	1514.91	2081.85	2564.16	3555.07	2157.84	1899.78	2711.9	3349.39	3843.15	3392.3	3886.23	3823.95	3686.85	3968.24	3398.4	3851.59	4053.75	3619.36	4732.06	4329.19	4516.58	4776.65	4927.8	5060.32	3917.27	4439.7	4799.53	3867.42	3640.14
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	19052.1	16455.4	17944.5	16512.2	17711.7	17195.6	17907.4	17425.5	18165.4	16675.3	9124.39	16352.9	18455.7	18830.4	15690.3	16584.6	19067.5	18363.8	18394.7	18740.4	16699.8	18351.9	18816.6	17128.1	16594.8	15851	16982.9	15844.8	16821.8	16397.8	16116.2	16783.9	15576.5	17097	16750.1	16719.9	17207	17319.7	15136.1	14928	12967.1	15850.2	14606.6	12874.4
