Intensity Apols_1	Intensity Apols_2	Intensity Apols_3	Intensity Apols_4	C: Only identified by site	C: Reverse	C: Potential contaminant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS count	T: Protein IDs	T: Majority protein IDs
22,4406	20,0563	NaN	23,7763			+	2	2	2	16,6	16,6	16,6	18,974	0	204,45	21150000	7	CON__P02668	CON__P02668
24,8977	24,1919	25,0931	26,36			+	8	8	8	61,7	61,7	61,7	18,281	0	159,73	203860000	25	CON__P02754	CON__P02754
25,8803	26,036	27,2884	27,7181			+	19	19	15	29,1	29,1	24,3	69,366	0	323,31	674200000	62	sp|P02768|ALBU_HUMAN;CON__P02768-1	sp|P02768|ALBU_HUMAN;CON__P02768-1
25,3801	24,0874	22,8422	25,1064			+	16	12	12	28,5	23,7	23,7	69,293	0	215,67	139670000	38	CON__P02769	CON__P02769
23,1583	NaN	23,3872	24,2819			+	44	2	1	62,1	4,6	1,6	59,998	0	45,026	49161000	5	CON__P04259	CON__P04259
22,1013	21,4405	20,0873	22,023			+	16	6	5	26,5	13,9	12,2	53,704	0	79,129	15101000	13	sp|P05787|K2C8_HUMAN;CON__P05787;CON__H-INV:HIT000292931;sp|P14136|GFAP_HUMAN	sp|P05787|K2C8_HUMAN;CON__P05787;CON__H-INV:HIT000292931
20,9474	22,8773	NaN	27,8593			+	1	1	1	8,1	8,1	8,1	26,537	0	10,622	451820000	4	sp|Q8NHM4|TRY6_HUMAN;sp|P07478|TRY2_HUMAN;sp|P07477|TRY1_HUMAN;CON__P07477	sp|Q8NHM4|TRY6_HUMAN;sp|P07478|TRY2_HUMAN;sp|P07477|TRY1_HUMAN;CON__P07477
NaN	21,1231	NaN	NaN			+	11	3	1	17,7	5,1	2,6	51,385	0	19,952	2283900	4	sp|P08729|K2C7_HUMAN;CON__Q3KNV1;CON__P08729	sp|P08729|K2C7_HUMAN;CON__Q3KNV1;CON__P08729
27,1538	27,6442	26,9756	28,2059			+	36	18	18	65,1	42,7	42,7	51,267	0	323,31	854580000	88	sp|P08779|K1C16_HUMAN;CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8	sp|P08779|K1C16_HUMAN;CON__P08779
24,0344	24,0337	NaN	21,1453			+	5	5	5	22,6	22,6	22,6	38,418	0	72,581	36676000	14	CON__P12763	CON__P12763
32,9221	32,8161	31,9998	33,0638			+	44	44	26	60,8	60,8	46,4	58,826	0	323,31	35334000000	575	sp|P13645|K1C10_HUMAN;CON__P13645	sp|P13645|K1C10_HUMAN;CON__P13645
26,9742	23,7074	22,0989	26,2081			+	28	23	2	64,4	56,8	3,5	49,586	0	323,31	248200000	52	CON__P13646-1	CON__P13646-1
28,6614	28,1198	28,0258	28,6288			+	44	25	8	59	40,2	12,5	62,378	0	323,31	1721600000	149	sp|P13647|K2C5_HUMAN;CON__P13647	sp|P13647|K2C5_HUMAN;CON__P13647
19,6707	20,8309	NaN	NaN			+	4	4	4	13,3	13,3	13,3	68,124	0	44,862	28027000	27	CON__P15636	CON__P15636
24,7671	23,5394	23,3465	26,8379			+	25	24	15	44,6	42,9	28,8	56,143	0	323,31	193440000	53	sp|P19013|K2C4_HUMAN;CON__P19013	sp|P19013|K2C4_HUMAN;CON__P19013
22,5764	20,8838	NaN	23,5029			+	6	6	6	5,4	5,4	5,4	435,16	0	38,03	20076000	6	sp|P20930|FILA_HUMAN;CON__P20930	sp|P20930|FILA_HUMAN;CON__P20930
22,1937	22,2614	NaN	23,632			+	5	5	5	15,6	15,6	15,6	46,103	0	51,713	22824000	12	CON__P34955	CON__P34955
22,7301	23,8803	NaN	23,9752			+	62	1	1	89,8	5,6	5,6	65,865	0	77,389	73338000	8	CON__P35908	CON__P35908
32,3223	31,8085	31,1037	32,5822			+	62	62	1	89,7	89,7	4,7	65,432	0	323,31	24336000000	660	sp|P35908|K22E_HUMAN;CON__P35908v2	sp|P35908|K22E_HUMAN;CON__P35908v2
28,6664	28,1808	28,0329	29,0778			+	45	33	0	63,7	52,1	0	60,024	0	323,31	1824000000	154	sp|P48668|K2C6C_HUMAN;CON__P48668	sp|P48668|K2C6C_HUMAN;CON__P48668
24,1758	25,3516	23,4609	26,5115			+	28	13	4	53,9	35,6	10,4	48,105	0	323,31	171810000	40	sp|Q04695|K1C17_HUMAN;CON__Q04695	sp|Q04695|K1C17_HUMAN;CON__Q04695
NaN	19,9783	NaN	NaN			+	3	2	2	6,7	5,4	5,4	75,829	0	10,97	1032900	2	CON__Q29443;CON__Q0IIK2	CON__Q29443;CON__Q0IIK2
21,2483	NaN	NaN	NaN			+	9	3	1	27,7	9,7	3,2	46,213	0	28,338	2491000	5	sp|Q14525|KT33B_HUMAN;CON__Q14525	sp|Q14525|KT33B_HUMAN;CON__Q14525
23,7835	23,2963	NaN	21,4703			+	10	8	2	30,3	26,4	6,2	47,237	0	119,49	27646000	15	sp|Q15323|K1H1_HUMAN;CON__Q9UE12;CON__Q15323;sp|Q14532|K1H2_HUMAN;CON__Q14532;CON__Q497I4	sp|Q15323|K1H1_HUMAN;CON__Q9UE12;CON__Q15323
23,14	22,9842	21,9736	24,1735			+	11	3	1	16,9	5,7	2	58,923	0	68,667	43834000	12	sp|Q86Y46|K2C73_HUMAN;CON__Q32MB2;sp|Q7RTS7|K2C74_HUMAN;CON__Q7RTS7	sp|Q86Y46|K2C73_HUMAN;CON__Q32MB2;sp|Q7RTS7|K2C74_HUMAN;CON__Q7RTS7
20,7202	NaN	NaN	NaN			+	3	2	2	20,4	15,4	15,4	22,06	0	18,035	1727400	3	CON__Q3SX09;CON__P02070	CON__Q3SX09;CON__P02070
NaN	17,9357	18,4635	NaN			+	3	3	3	13,3	13,3	13,3	28,521	0	17,66	2871600	4	sp|P67936|TPM4_HUMAN;sp|P07951|TPM2_HUMAN;CON__Q3SX28;sp|P09493|TPM1_HUMAN;sp|P06753|TPM3_HUMAN	sp|P67936|TPM4_HUMAN;sp|P07951|TPM2_HUMAN;CON__Q3SX28;sp|P09493|TPM1_HUMAN;sp|P06753|TPM3_HUMAN
NaN	NaN	21,4864	NaN			+	17	3	3	16,8	4,4	4,4	70,922	0	20,441	2937900	4	CON__Q3TTY5	CON__Q3TTY5
24,6784	24,6552	23,2406	25,2555			+	12	12	12	9	9	9	248,07	0	323,31	116840000	31	sp|Q5D862|FILA2_HUMAN;CON__Q5D862	sp|Q5D862|FILA2_HUMAN;CON__Q5D862
NaN	NaN	NaN	20,6493			+	35	1	0	42,1	1,5	0	62,936	0,006192	6,3536	1644600	1	CON__Q5XQN5	CON__Q5XQN5
22,1381	NaN	NaN	19,871			+	7	1	1	47,3	10,8	10,8	10,662	0	7,3147	5574700	2	CON__Q61782	CON__Q61782
23,1882	23,459	23,268	23,6749			+	15	14	14	34,3	31,6	31,6	50,525	0	185,4	51705000	36	CON__Q6KB66-1;sp|Q6KB66|K2C80_HUMAN;CON__Q0VBK2	CON__Q6KB66-1;sp|Q6KB66|K2C80_HUMAN
NaN	20,0017	22,1682	24,6994			+	7	5	3	16,1	12,2	6,1	49,822	0	128,42	35042000	9	sp|Q7Z3Y8|K1C27_HUMAN;CON__Q7Z3Y8;sp|Q7Z3Z0|K1C25_HUMAN;CON__Q7Z3Z0;sp|Q7Z3Y9|K1C26_HUMAN;CON__Q7Z3Y9	sp|Q7Z3Y8|K1C27_HUMAN;CON__Q7Z3Y8;sp|Q7Z3Z0|K1C25_HUMAN;CON__Q7Z3Z0
25,4152	26,1884	24,2476	26,9503			+	26	22	17	37,7	34,1	25,1	61,901	0	323,31	305520000	58	sp|Q7Z794|K2C1B_HUMAN;CON__Q7Z794	sp|Q7Z794|K2C1B_HUMAN;CON__Q7Z794
25,6939	25,5039	24,4324	25,4001			+	9	9	9	12,1	12,1	12,1	282,39	0	323,31	169530000	57	sp|Q86YZ3|HORN_HUMAN;CON__Q86YZ3	sp|Q86YZ3|HORN_HUMAN;CON__Q86YZ3
22,0364	22,4766	20,4379	22,2063			+	7	7	7	23,2	23,2	23,2	48,131	0	100,42	17818000	16	sp|Q9C075|K1C23_HUMAN;CON__Q9C075	sp|Q9C075|K1C23_HUMAN;CON__Q9C075
21,3845	25,629	NaN	NaN			+	14	9	8	26,7	21,8	20	64,895	0	117,62	56523000	12	CON__Q9NSB2;sp|Q9NSB2|KRT84_HUMAN;CON__Q6ISB0	CON__Q9NSB2;sp|Q9NSB2|KRT84_HUMAN;CON__Q6ISB0
20,3991	NaN	NaN	NaN			+	2	1	1	4,1	1,9	1,9	56,652	0	48,701	1382700	1	sp|Q9NSB4|KRT82_HUMAN;CON__Q9NSB4	sp|Q9NSB4|KRT82_HUMAN;CON__Q9NSB4
NaN	NaN	NaN	24,4639			+	11	6	0	17,4	11,1	0	57,382	0	73,923	23140000	9	CON__Q9R0H5	CON__Q9R0H5
NaN	19,7139	NaN	19,9687				4	4	4	4,9	4,9	4,9	161,1	0	26,755	1886000	5	sp|A8K2U0|A2ML1_HUMAN	sp|A8K2U0|A2ML1_HUMAN
19,7905	NaN	NaN	NaN				1	1	1	6,5	6,5	6,5	23,384	0,0087464	6,1112	906830	1	sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN	sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN
20,1382	NaN	NaN	NaN				1	1	1	7,5	7,5	7,5	26,922	0,0063694	6,4754	1154000	2	sp|O00299|CLIC1_HUMAN	sp|O00299|CLIC1_HUMAN
19,3808	NaN	NaN	NaN				2	2	2	10,5	10,5	10,5	27,887	0	11,678	682650	2	sp|O14818|PSA7_HUMAN;sp|Q8TAA3|PSMA8_HUMAN	sp|O14818|PSA7_HUMAN;sp|Q8TAA3|PSMA8_HUMAN
18,7888	NaN	NaN	NaN				1	1	1	2,1	2,1	2,1	70,942	0,0087209	6,1101	452890	1	sp|O43390|HNRPR_HUMAN	sp|O43390|HNRPR_HUMAN
NaN	19,6111	NaN	20,5142				1	1	1	2,1	2,1	2,1	80,777	0	10,091	2298400	1	sp|O43548|TGM5_HUMAN	sp|O43548|TGM5_HUMAN
22,04	21,2326	NaN	20,8219				6	6	2	8,9	8,9	3,4	104,85	0	48,189	10423000	8	sp|O43707|ACTN4_HUMAN;sp|Q08043|ACTN3_HUMAN	sp|O43707|ACTN4_HUMAN
24,7172	23,1552	NaN	20,2351				3	3	3	12,3	12,3	12,3	36,019	0	49,253	38157000	7	sp|O60218|AK1BA_HUMAN;sp|C9JRZ8|AK1BF_HUMAN	sp|O60218|AK1BA_HUMAN
22,9895	21,2673	NaN	NaN				4	4	4	12,3	12,3	12,3	55,023	0	90,152	10852000	7	sp|O60701|UGDH_HUMAN	sp|O60701|UGDH_HUMAN
23,0056	22,6382	NaN	25,166				3	3	3	27,8	27,8	27,8	13,952	0	21,583	64963000	14	sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|A0A2R8Y619|H2BK1_HUMAN	sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q96A08|H2B1A_HUMAN
NaN	NaN	NaN	22,4093				1	1	1	6,9	6,9	6,9	37,329	0	10,978	5570200	2	sp|O60911|CATL2_HUMAN	sp|O60911|CATL2_HUMAN
23,0938	22,8782	21,5921	24,1264				8	8	8	39,9	39,9	39,9	21,007	0	83,076	39306000	23	sp|O75223|GGCT_HUMAN	sp|O75223|GGCT_HUMAN
20,0587	20,2004	NaN	20,7001				4	4	4	8	8	8	80,355	0	27,613	4000400	7	sp|O75342|LX12B_HUMAN	sp|O75342|LX12B_HUMAN
21,8644	NaN	NaN	20,1304				7	7	6	4,9	4,9	4,5	278,16	0	46,172	4965800	8	sp|O75369|FLNB_HUMAN	sp|O75369|FLNB_HUMAN
NaN	NaN	NaN	21,32				2	2	2	8,9	8,9	8,9	42,904	0	68,553	2618000	1	sp|O75635|SPB7_HUMAN	sp|O75635|SPB7_HUMAN
20,1193	NaN	NaN	NaN				1	1	1	7,4	7,4	7,4	38,274	0	9,4128	1139000	2	sp|O95433|AHSA1_HUMAN	sp|O95433|AHSA1_HUMAN
20,7146	NaN	NaN	22,1103				1	1	1	0,4	0,4	0,4	378,03	0,0082192	5,9253	6248500	2	sp|O95613|PCNT_HUMAN	sp|O95613|PCNT_HUMAN
22,3929	19,0972	19,6463	22,0048				2	2	2	7,5	7,5	7,5	36,688	0	36,402	11097000	7	sp|P00338|LDHA_HUMAN	sp|P00338|LDHA_HUMAN
25,1827	23,7755	NaN	21,8505				9	9	9	22	22	22	54,861	0	99,888	56225000	21	sp|P00352|AL1A1_HUMAN	sp|P00352|AL1A1_HUMAN
19,6941	NaN	NaN	20,7218				1	1	1	9,1	9,1	9,1	15,936	0,0084034	5,9865	2577500	1	sp|P00441|SODC_HUMAN	sp|P00441|SODC_HUMAN
NaN	20,3052	19,3647	20,8657				2	2	2	10	10	10	32,118	0	12,874	3881500	3	sp|P00491|PNPH_HUMAN	sp|P00491|PNPH_HUMAN
21,4666	21,2518	NaN	19,8705				6	6	6	23,3	23,3	23,3	44,614	0	72,19	6353500	11	sp|P00558|PGK1_HUMAN;sp|P07205|PGK2_HUMAN	sp|P00558|PGK1_HUMAN
19,1484	NaN	20,9254	22,6856				6	6	6	13,5	13,5	13,5	45,205	0	102,19	9881900	8	sp|P00738|HPT_HUMAN;sp|P00739|HPTR_HUMAN	sp|P00738|HPT_HUMAN;sp|P00739|HPTR_HUMAN
19,9066	NaN	NaN	21,0924				2	2	2	6,7	6,7	6,7	46,736	0	17,653	3218800	3	sp|P01009|A1AT_HUMAN	sp|P01009|A1AT_HUMAN
NaN	NaN	19,2272	20,4816				2	2	2	6,9	6,9	6,9	47,65	0	17,954	2077800	1	sp|P01011|AACT_HUMAN	sp|P01011|AACT_HUMAN
NaN	20,8001	21,2074	20,1055				6	6	5	4,5	4,5	3,9	163,29	0	48,126	5375400	7	sp|P01023|A2MG_HUMAN;sp|P20742|PZP_HUMAN	sp|P01023|A2MG_HUMAN
NaN	NaN	19,1386	18,7079				3	3	3	3	3	3	187,15	0	123,49	1005300	4	sp|P01024|CO3_HUMAN	sp|P01024|CO3_HUMAN
18,3654	NaN	NaN	23,2466				4	4	3	38,3	38,3	30,5	16,214	0	201,89	10290000	7	sp|P01036|CYTS_HUMAN;sp|P09228|CYTT_HUMAN	sp|P01036|CYTS_HUMAN
NaN	NaN	NaN	22,0068				4	3	3	35,5	27,7	27,7	16,387	0	109,96	4214200	7	sp|P01037|CYTN_HUMAN	sp|P01037|CYTN_HUMAN
27,606	27,0252	25,3316	28,1232				8	8	8	76,5	76,5	76,5	11,006	0	323,31	684430000	44	sp|P01040|CYTA_HUMAN	sp|P01040|CYTA_HUMAN
NaN	NaN	21,9156	23,6587				1	1	1	7,5	7,5	7,5	18,098	0	22,248	19377000	4	sp|P01591|IGJ_HUMAN	sp|P01591|IGJ_HUMAN
NaN	NaN	21,0325	23,4964				5	5	5	9,7	9,7	9,7	83,283	0	81,818	13979000	7	sp|P01833|PIGR_HUMAN	sp|P01833|PIGR_HUMAN
22,8322	22,426	21,928	25,5988				4	4	4	48,6	48,6	48,6	11,765	0	71,096	84443000	27	sp|P01834|IGKC_HUMAN;sp|P0DOX7|IGK_HUMAN	sp|P01834|IGKC_HUMAN;sp|P0DOX7|IGK_HUMAN
23,359	NaN	22,7074	25,586				4	4	4	14,5	14,5	14,5	49,328	0	26,46	73988000	12	sp|P0DOX5|IGG1_HUMAN;sp|P01857|IGHG1_HUMAN;sp|P01861|IGHG4_HUMAN	sp|P0DOX5|IGG1_HUMAN;sp|P01857|IGHG1_HUMAN
22,9705	23,2621	22,5676	26,0466				5	5	3	17	17	11,6	37,654	0	79,34	101110000	21	sp|P01876|IGHA1_HUMAN	sp|P01876|IGHA1_HUMAN
19,4804	18,8593	20,313	22,0509				4	4	4	6,9	6,9	6,9	74,139	0	26,945	6854600	5	sp|P02545|LMNA_HUMAN	sp|P02545|LMNA_HUMAN
NaN	20,7352	20,9133	22,3397				3	3	3	13,1	13,1	13,1	30,777	0	102,76	9028400	4	sp|P02647|APOA1_HUMAN	sp|P02647|APOA1_HUMAN
NaN	NaN	20,992	NaN				2	2	2	11	11	11	11,175	0	12,8	2344300	2	sp|P02652|APOA2_HUMAN	sp|P02652|APOA2_HUMAN
NaN	NaN	22,3251	22,0354				3	3	3	4,7	4,7	4,7	77,049	0	24,411	9552800	4	sp|P02787|TRFE_HUMAN	sp|P02787|TRFE_HUMAN
21,3572	21,2624	20,2733	24,9846				8	8	7	15,4	15,4	14,1	78,181	0	167,72	39668000	13	sp|P02788|TRFL_HUMAN	sp|P02788|TRFL_HUMAN
NaN	20,2895	NaN	23,1925				2	2	2	65,8	65,8	65,8	8,1875	0	32,957	10868000	8	sp|P02814|SMR3B_HUMAN	sp|P02814|SMR3B_HUMAN
23,4338	23,504	22,374	24,3266				11	11	11	24,1	24,1	24,1	59,755	0	201,71	51899000	28	sp|P04040|CATA_HUMAN	sp|P04040|CATA_HUMAN
23,028	21,5036	NaN	21,4869				4	4	4	23,6	23,6	23,6	39,42	0	37,641	14465000	12	sp|P04075|ALDOA_HUMAN	sp|P04075|ALDOA_HUMAN
19,9937	NaN	NaN	21,1984				2	2	2	24,5	24,5	24,5	11,139	0	12,317	3450400	3	sp|P04080|CYTB_HUMAN	sp|P04080|CYTB_HUMAN
24,5192	23,5757	21,8109	24,9817				13	13	13	39,9	39,9	39,9	38,714	0	195	85996000	42	sp|P04083|ANXA1_HUMAN	sp|P04083|ANXA1_HUMAN
22,8517	23,1522	23,2065	23,7693				43	1	1	61,9	1,6	1,6	60,066	0	12,793	43211000	4	sp|P04259|K2C6B_HUMAN	sp|P04259|K2C6B_HUMAN
33,4051	33,2048	32,7134	33,3112			+	60	56	43	70,3	70,3	60,6	66,038	0	323,31	43624000000	818	sp|P04264|K2C1_HUMAN;CON__P04264	sp|P04264|K2C1_HUMAN;CON__P04264
17,6265	NaN	20,3361	NaN				2	2	2	7,4	7,4	7,4	52,13	0	12,468	1722000	2	sp|P04279|SEMG1_HUMAN;sp|Q02383|SEMG2_HUMAN	sp|P04279|SEMG1_HUMAN;sp|Q02383|SEMG2_HUMAN
26,231	25,1525	24,1247	26,113				13	13	13	51,6	51,6	51,6	36,053	0	249,92	236270000	43	sp|P04406|G3P_HUMAN;sp|O14556|G3PT_HUMAN	sp|P04406|G3P_HUMAN
23,9835	23,2594	NaN	24,8859				4	4	4	36,1	36,1	36,1	22,782	0	42,906	57629000	15	sp|P04792|HSPB1_HUMAN	sp|P04792|HSPB1_HUMAN
23,3558	19,1386	NaN	25,5114				2	2	2	21,9	21,9	21,9	13,936	0	15,648	90021000	5	sp|Q99878|H2A1J_HUMAN;sp|Q96KK5|H2A1H_HUMAN;sp|Q9BTM1|H2AJ_HUMAN;sp|Q16777|H2A2C_HUMAN;sp|Q93077|H2A1C_HUMAN;sp|Q7L7L0|H2A3_HUMAN;sp|Q6FI13|H2A2A_HUMAN;sp|P20671|H2A1D_HUMAN;sp|P0C0S8|H2A1_HUMAN;sp|P04908|H2A1B_HUMAN;sp|Q71UI9|H2AV_HUMAN;sp|P0C0S5|H2AZ_HUMAN;sp|Q8IUE6|H2A2B_HUMAN;sp|Q96QV6|H2A1A_HUMAN;sp|P16104|H2AX_HUMAN	sp|Q99878|H2A1J_HUMAN;sp|Q96KK5|H2A1H_HUMAN;sp|Q9BTM1|H2AJ_HUMAN;sp|Q16777|H2A2C_HUMAN;sp|Q93077|H2A1C_HUMAN;sp|Q7L7L0|H2A3_HUMAN;sp|Q6FI13|H2A2A_HUMAN;sp|P20671|H2A1D_HUMAN;sp|P0C0S8|H2A1_HUMAN;sp|P04908|H2A1B_HUMAN;sp|Q71UI9|H2AV_HUMAN;sp|P0C0S5|H2AZ_HUMAN;sp|Q8IUE6|H2A2B_HUMAN;sp|Q96QV6|H2A1A_HUMAN;sp|P16104|H2AX_HUMAN
24,5945	24,5167	22,2898	25,4359				10	10	10	37	37	37	34,735	0	85,597	108650000	33	sp|P05089|ARGI1_HUMAN	sp|P05089|ARGI1_HUMAN
20,9193	21,254	24,0112	22,9762				5	5	5	22,2	22,2	22,2	21,275	0	44,662	30989000	8	sp|P05090|APOD_HUMAN	sp|P05090|APOD_HUMAN
23,3856	22,4925	23,1792	23,3288				4	4	4	39,8	39,8	39,8	10,834	0	47,923	40379000	14	sp|P05109|S10A8_HUMAN	sp|P05109|S10A8_HUMAN
19,3224	19,4857	NaN	NaN				2	2	2	6	6	6	46,596	0	11,057	1389700	4	sp|P05120|PAI2_HUMAN	sp|P05120|PAI2_HUMAN
NaN	NaN	NaN	21,6852				2	2	2	4,3	4,3	4,3	83,868	0	11,723	3372100	2	sp|P05164|PERM_HUMAN	sp|P05164|PERM_HUMAN
20,5117	NaN	NaN	NaN				2	2	2	27	27	27	11,665	0	21,97	1495000	4	sp|P05387|RLA2_HUMAN	sp|P05387|RLA2_HUMAN
22,0944	20,6547	NaN	NaN				3	3	3	13,2	13,2	13,2	34,273	0	38,382	6128700	8	sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN	sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN
21,4467	NaN	NaN	20,8382				2	2	2	6,9	6,9	6,9	46,836	0	12,901	4732900	3	sp|P05455|LA_HUMAN	sp|P05455|LA_HUMAN
23,8086	21,6014	NaN	22,6923				7	6	5	23,3	21,6	19,1	48,057	0	87,088	24653000	16	sp|P05783|K1C18_HUMAN;CON__H-INV:HIT000015463	sp|P05783|K1C18_HUMAN
22,0509	22,61	22,3363	23,0753				1	1	1	1,7	1,7	1,7	60,512	0,0091185	6,3008	45039000	5	sp|P06133|UD2B4_HUMAN	sp|P06133|UD2B4_HUMAN
18,9976	19,1639	NaN	22,6534			+	5	5	5	10,9	10,9	10,9	85,696	0	32,547	7708000	9	sp|P06396|GELS_HUMAN;CON__Q3SX14	sp|P06396|GELS_HUMAN;CON__Q3SX14
20,5759	19,3201	NaN	NaN				1	1	1	12,6	12,6	12,6	12,203	0	7,4972	2821500	5	sp|P06454|PTMA_HUMAN	sp|P06454|PTMA_HUMAN
24,3036	23,2015	20,1436	25,5289				6	6	6	51,8	51,8	51,8	13,242	0	84,726	501290000	19	sp|P06702|S10A9_HUMAN	sp|P06702|S10A9_HUMAN
25,0727	24,4683	20,3315	24,4363				9	9	9	27,4	27,4	27,4	47,168	0	134,94	102000000	35	sp|P06733|ENOA_HUMAN;sp|P13929|ENOB_HUMAN;sp|P09104|ENOG_HUMAN	sp|P06733|ENOA_HUMAN
21,3768	19,6237	NaN	21,3685			+	2	2	2	5,7	5,7	5,7	63,146	0	12,956	6238300	5	sp|P06744|G6PI_HUMAN;CON__Q3ZBD7	sp|P06744|G6PI_HUMAN;CON__Q3ZBD7
21,5785	21,6664	NaN	21,6759				2	2	2	13,6	13,6	13,6	32,575	0	26,177	9810400	10	sp|P06748|NPM_HUMAN	sp|P06748|NPM_HUMAN
NaN	NaN	NaN	20,3972				1	1	1	5	5	5	28,889	0,0061728	6,3453	1380900	1	sp|P06870|KLK1_HUMAN	sp|P06870|KLK1_HUMAN
21,9884	NaN	NaN	21,4071				1	1	1	4,5	4,5	4,5	36,638	0	12,15	6941700	3	sp|P07195|LDHB_HUMAN	sp|P07195|LDHB_HUMAN
22,8698	20,3695	NaN	24,1627				7	7	7	20,9	20,9	20,9	44,552	0	119,45	27799000	12	sp|P07339|CATD_HUMAN	sp|P07339|CATD_HUMAN
